idProjects,ProjectName,FirstDataSource,ProjectWebpage,FacebookPage,ProjectTwitter,Comments
2144,Portugal (Alfandeza da Fe),MOPACT,Information on source website: Possible name of project: Senior Citizens Participatory budget,NULL,NULL,
2213, Digital Job Board,EUSIC,Not found,,,
2222, The Art of Sharing ,EUSIC,Not found,,,
2230, Parkingspace Invaders,EUSIC,Not found,,,
2451,Alterniity AR ,European Investment Bank Finalists,Not found,,,
2472,Filisia,European Investment Bank Finalists,https://www.filisia.com/cosmo/,,,
2473,Hello Mum! ,European Investment Bank Finalists,Not found,,,
2474,UFeed,European Investment Bank Finalists,Not found,,,
2476,Pinklime,European Investment Bank Finalists,Not found,,,
2479,Bagua Mundi,European Investment Bank Finalists,Not found,,,
2484,JoinIn,European Investment Bank Finalists,https://doit.life/join-in/vivo/520?containerId=263,,,
2487,Organery,European Investment Bank Finalists,Not found,,,
2490,uMAYOR,European Investment Bank Finalists,Not found,,,
2522,capital digital,EUSIC,Not found,,,
2523,project virtuous triangle,EUSIC,Not found,,,
2524, Citizen Guides Country,EUSIC,Not found,,,
2529,the machine to be another,EUSIC,http://www.themachinetobeanother.org/?page_id=764,,,
2530,safe housing for lgbt refugees,EUSIC,https://microrainbow.org/what-we-do/housing,,,
2533,financial democratisation for refugees and migrants,EUSIC,https://aid.technology/what-we-do/,,,
2536, Raising Together ,EUSIC,Not found,,,
2537,new neighbours in arnsberg,EUSIC,Not found,,,
2538, Pitlanes ,EUSIC,Not found,,,
2539, P2P Agency ,EUSIC,Not found,,,
2541, Digital Skills Assessment ,EUSIC,Not found,,,
2545, Glocal Community ,EUSIC,http://www.greenfarmmovement.org/glocal-community/,,,
2547, Ssyla Digital Therapy Platform ,EUSIC,Not found,,,
2548, School of Agro-tourism ,EUSIC,Not found,,,
2549, Share your Time (Podziel sie czasem) ,EUSIC,Not found,,,
2550, Textfugees,EUSIC,Not found,,,
2551, Sharing the Earth ,EUSIC,Not found,,,
2552,APIFORM sit-in beekeeping,EUSIC,Not found,https://www.facebook.com/apiformbee,https://twitter.com/apiformbee,
2556,Smart Hearing Aid,EUSIC,Not found,,www.twitter.com/HearMeSmarter,
2562,Reduction of unemployment through the reduction of food waste ,EUSIC,Not found,,,
2574,My Forest mobile cooperative,EUSIC,Not found,,,
2580,DA-NEC,EUSIC,https://www.nec.com/en/global/about/vision/co-creation/,?,,
3178,10 Best Colleges for App Developers,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3181,10 Top List of Game hacking applications For Android iOS,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3182,200hrsyogattc,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3185,3D Printing Academy,Digital Social Innovation Database,http://3dprintingacademyforgirls.com,NULL,NULL,
3186,3L ExArca  Cloud Computing Service,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3187,4 Top Causes Of Identity Theft And The Precautions To Avoid Them,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3190,5 Apps that Will Help You Cope with Maths,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3192,7 Ways Technology Has Changed Our Lives Forever,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3195,A bio-hackerspace for the Greater Lausanne Area,Digital Social Innovation Database,Not found,NULL,NULL,
3197,A Company To Audit Your PPC,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3199,A Decision Support System to Manage mHealth-Based Type-2 Diabetes Treatment (mDiaSS),Digital Social Innovation Database,Not found,NULL,NULL,
3201,A Welsh Assembly Government consultation: Future Generations Bill via VocalEyes,Digital Social Innovation Database,Not found,NULL,NULL,
3202,A4B MEET Lab,Digital Social Innovation Database,Not found,NULL,NULL,
3204,abc,Digital Social Innovation Database,Not found,NULL,NULL,
3206,Academic Writing Help,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3208,AccessArt Distance Learning and Online Tutorial,Digital Social Innovation Database,https://www.accessart.org.uk/distance-learning-courses/,NULL,NULL,
3211,Additive manufacturing and reverse engineering,Digital Social Innovation Database,Not found,NULL,NULL,
3214,Advisory and Supervision Services for Young Entrepreneurs,Digital Social Innovation Database,Not found,NULL,NULL,
3215,Advisory and Training Services within the Field of Social Entrepreneurship,Digital Social Innovation Database,Not found,NULL,NULL,
3222,age research,Digital Social Innovation Database,Not found,NULL,NULL,
3227,Air Conditioning Repair,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3230,Alice,Digital Social Innovation Database,https://alice.si/#Why-Alice,NULL,NULL,
3231,Alinker One Planet Crowd crowd funding campaign,Digital Social Innovation Database,https://www.oneplanetcrowd.com/nl/project/80570/description,NULL,NULL,
3233,All About Testo Max HD,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3235,Alla Giornata,Digital Social Innovation Database,http://allagiornata.org/en/the-project/,NULL,NULL,
3237,alleppey houseboat,Digital Social Innovation Database,http://www.atdcalleppey.com/about-us.html,NULL,NULL,
3241,Amazon Ranking Service,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3244,Ambient Learning City,Digital Social Innovation Database,Not found,NULL,NULL,
3245,American Gold Eagles,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3247,Andaluciasostenible.com,Digital Social Innovation Database,https://www.andalucia.org/en/sustainable-tourism/,NULL,NULL,
3253,apartment hotels in Melbourne,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3254,Apio,Digital Social Innovation Database,http://apioix.com/about/,NULL,NULL,
3257,Apps For Ghent IV,Digital Social Innovation Database,http://appsforghent.be/over,NULL,NULL,
3259,Apps4Europe,Digital Social Innovation Database,http://futureeverything.org/projects/apps-for-europe/,NULL,NULL,
3260,Apps4Finland,Digital Social Innovation Database,Not found,NULL,NULL,
3265,Art Blast,Digital Social Innovation Database,Not found,NULL,NULL,
3266,Arthritis Pain Relief,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3267,Arthur Casey,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3269,artist led projects,Digital Social Innovation Database,Not Found,NULL,NULL,
3270,Asili e benessere,Digital Social Innovation Database,Not found,NULL,NULL,
3271,Ask Legal Lord Law Firm,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3280,Assignment help for students in Australia,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3281,Assignment help UK,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3282,Assignment Writing Service,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3285,Ateneus de Fabricacio,Digital Social Innovation Database,http://www.fablabconnect.com/ateneus-de-fabricacio-digital-manufacturing-for-everyone/,NULL,NULL,
3287,Atlas de Ciencias Sociales y Humanidades Digitales,Digital Social Innovation Database,http://humanidadesdigitales.net/humanidades/noticias/90-atlas-de-ciencias-sociales-y-humanidades-digitales,NULL,NULL,
3289,auction commercial property,Digital Social Innovation Database,Not SI,NULL,NULL,Spam
3290,AUTISM AID APP PROJECT,Digital Social Innovation Database,http://autismambassadors.org.gh/autism-aid-app/,NULL,NULL,
3295,AVO2,Digital Social Innovation Database,https://www.eoppimiskeskus.fi/avo2/,NULL,NULL,
3298,Azul Caramelo,Digital Social Innovation Database,Not found,NULL,NULL,
3301,B. 2025,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3302,B2B sharing and collaboration,Digital Social Innovation Database,Not found,NULL,NULL,
3303,Babele - create together,Digital Social Innovation Database,https://babele.co/home/,NULL,NULL,
3307,Back Up Generators Houston,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3311,bankruptcy attorney,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3313,Barney Cruz,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3317,bathroom remodeling,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3319,bathroom vanity mirrors,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3330,Beehive,Digital Social Innovation Database,http://beehivemw.org/about.html,NULL,NULL,
3332,Benefits Of Using Blue Prism Tool For Organization,Digital Social Innovation Database,https://www.blueprism.com/whatwedo,NULL,NULL,
3334,BES Crowdfunding,Digital Social Innovation Database,Not found,NULL,NULL,
3335,bespoken,Digital Social Innovation Database,http://www.bespoken.me/page/about-us-3,NULL,NULL,
3336,Best Assignment Help - Ready Assignment,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3337,Best Assignment Writing Service - Assignment Tutor,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3338,best dealer to sell gold bullion,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3348,Best Practice European DSI in the Health Sector,Digital Social Innovation Database,Not found,NULL,NULL,
3349,Best reviews,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3350,best sites for paper writing,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3353,Best writing app For Your iPad And iPhone,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3354,bettervest,Digital Social Innovation Database,https://www.bettervest.com/en/about-us/,NULL,NULL,
3359,bike lab,Digital Social Innovation Database,http://www.fucinevulcano.org/nuovi-orari-e-servizi-per-labbici/,NULL,NULL,"Project page in Italian - more accurate to call project by Italian name ""Lab-bici"""
3360,Bike Sharing Napoli,Digital Social Innovation Database,http://www.bikesharingnapoli.it/en/how-it-works/,NULL,NULL,"The about page doesn't work, so the page linked it the website with the bike maps"
3361,BikeDistrict,Digital Social Innovation Database,"http://bikedistrict.org/#/45.46372,9.19106/45.46844,9.18018/t",NULL,NULL,
3365,Bio FabLab,Digital Social Innovation Database,https://www.fablabs.io/labs/biofab,NULL,NULL,
3366,BioHome,Digital Social Innovation Database,Not found,NULL,NULL,
3367,BiPart,Digital Social Innovation Database,https://bipart.org/how,NULL,NULL,
3373,BKSTS young members group,Digital Social Innovation Database,Not found,NULL,NULL,
3374,Blinfo,Digital Social Innovation Database,Not found,NULL,NULL,
3375,Blockchan 2017,Digital Social Innovation Database,Not found,NULL,NULL,
3376,Blood Testing For Athletes,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3378,Bluemove Community,Digital Social Innovation Database,https://bluemove.es/en/carsharing,NULL,NULL,
3379,Bobonline,Digital Social Innovation Database,not found,NULL,NULL,
3381,BookwomHub,Digital Social Innovation Database,not found,NULL,NULL,
3382,Boost Your career in Latest Financials Technology Murex Online Training by Industry Experts,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3394,Brain Trainer,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3396,Branded Promotional Products,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3404,Breast Lift Without Implants,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3406,Broadband Service Dissemination in India,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3407,Broadway,Digital Social Innovation Database,http://www.broadwaysocent.org/social-enterprise/,NULL,NULL,
3416,Business School in Cornwall,Digital Social Innovation Database,https://www.the-sse.org/schools/cornwall/,NULL,NULL,
3417,Business Social Network,Digital Social Innovation Database,Not found,NULL,NULL,
3420,Buy Dissertation,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3424,Caffeinated Water,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3426,Call Center Services,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3427,Cambio. Innovation Through Design,Digital Social Innovation Database,https://about.me/ariannamazzeo,NULL,NULL,
3429,CAMP (Communication and Media Production),Digital Social Innovation Database,https://www.jacksonk12.org/cms/lib/AL02210046/Centricity/Domain/17/ABOUT%20CAMP.pdf,NULL,NULL,PDF
3431,Cannabis Culture - An Excellent Guide,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3439,carhirerarotonga,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3440,Carol Durant,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3442,Casey Henderson,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3448,CASI,Digital Social Innovation Database,http://www.casi.es/en/history/,NULL,NULL,unsure if this is the right CASI/ qualifies as social innovation
3450,catalyst,Digital Social Innovation Database,https://www.chg.org.uk/about-us/,NULL,NULL,
3451,Catalyst Sprint and Launchpad projects,Digital Social Innovation Database,http://imagination.lancs.ac.uk/activities/CaTalyST_Citizens_Transforming_Society_Tools_Change,NULL,NULL,
3452,CATI - Computer Aided Trust Internet,Digital Social Innovation Database,https://www.cati.com/company/,NULL,NULL,
3453,"CATI, BrainScope, HeartScope, PhysioCord, Common Language Concept",Digital Social Innovation Database,Not found,NULL,NULL,
3460,Chameleon,Digital Social Innovation Database,http://chameleondg.com/index.html#about,NULL,NULL,
3463,Changing the World,Digital Social Innovation Database,Not found,NULL,NULL,
3465,Charles  Natoli,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3473,Cheap Postcards Online,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3474,chercher classer comparer,Digital Social Innovation Database,Not found,NULL,NULL,
3475,CHEST Community,Digital Social Innovation Database,http://www.chest-project.eu/project/,NULL,NULL,
3478,Christinia Mckee,Digital Social Innovation Database,Not found,NULL,NULL,
3480,Christopher Caldwell,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3481,Cicero,Digital Social Innovation Database,https://www.cicerosocialimpact.org/articles/innovation-summit-2016/,NULL,NULL,
3486,Citizens Pact,Digital Social Innovation Database,https://cafebabel.com/en/article/citizens-pact-2013-who-are-the-citizens-and-what-is-the-pact-5ae008c4f723b35a145e4156/,NULL,NULL,
3487,Cittadini Reattivi (Re-active citizens),Digital Social Innovation Database,Not found,NULL,NULL,
3488,City Jam,Digital Social Innovation Database,https://cityjam.us/,NULL,NULL,
3489,CITYREGIONS,Digital Social Innovation Database,http://cityregions.org/the-future-of-city-regions/conceptual-approach,NULL,NULL,
3490,CitySDK,Digital Social Innovation Database,https://uscensusbureau.github.io/citysdk/about/,NULL,NULL,
3492,Civic Exchange,Digital Social Innovation Database,http://civic-exchange.org/our-mission/,NULL,NULL,
3493,CivicFlow,Digital Social Innovation Database,http://www.civicflow.com/,NULL,NULL,
3496,Civil Legal Advice Operator Service,Digital Social Innovation Database,Not found,NULL,NULL,
3499,Cleanap| Piazza Pulita,Digital Social Innovation Database,http://www.cleanap.org/chi-siamo/,NULL,NULL,
3501,Cleaning Day,Digital Social Innovation Database,http://siivouspaiva.com/siivouspaiva-info/siivouspaivan-perusteet,NULL,NULL,
3502,Cleanweb,Digital Social Innovation Database,https://www.cleanweb.co/about/,NULL,NULL,
3506,Co-creation Solutions,Digital Social Innovation Database,Not found,NULL,NULL,
3508,Co-Working,Digital Social Innovation Database,Not found,NULL,NULL,
3509,CO2 Account,Digital Social Innovation Database,http://100andchange.foundationcenter.org/profiles/4989/,NULL,NULL,
3511,Coastal Contract Hardware,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3512,cochin taxi service,Digital Social Innovation Database,Not found,NULL,NULL,
3513,Code 4 Pizza,Digital Social Innovation Database,Not found,NULL,NULL,
3515,Code For Poland,Digital Social Innovation Database,https://epf.org.pl/en/projects/code-for-poland/,NULL,NULL,
3516,Code Week Cz,Digital Social Innovation Database,https://codeweek.saferinternet.cz/index.php/o-codeweeku,NULL,NULL,"Just ""Codeweek"" for title"
3517,CoderDojo,Digital Social Innovation Database,https://coderdojo.com/about/,NULL,NULL,
3519,Coliving + Coworking for changemakers,Digital Social Innovation Database,Not found,NULL,NULL,
3520,Collaborative Data as an enabler for measurable social impact,Digital Social Innovation Database,Not found,NULL,NULL,
3521,Collaborative urban food production & deliveries,Digital Social Innovation Database,Not found,NULL,NULL,
3522,Collaction,Digital Social Innovation Database,https://collaction.org/about,NULL,NULL,
3523,Collective Music Experiment,Digital Social Innovation Database,http://socientize.eu/?q=eu/content/collective-music-experiment,NULL,NULL,
3525,collider,Digital Social Innovation Database,https://socialinnovation.org/the-collider-magazine/,NULL,NULL,
3526,Colombio,Digital Social Innovation Database,Not found,NULL,NULL,
3529,commercial construction recruiting,Digital Social Innovation Database,Not found,NULL,NULL,
3536,Commons4EU,Digital Social Innovation Database,Not found,NULL,NULL,
3537,COMMUNIA,Digital Social Innovation Database,http://communia-project.eu/about.html,NULL,NULL,
3538,Communia Assosiation,Digital Social Innovation Database,https://www.communia-association.org/about/,NULL,NULL,
3539,Communication App for the Deaf and Hard of Hearing - iSignIT,Digital Social Innovation Database,http://isignit.weebly.com/english.html,NULL,NULL,
3540,Communities of passion,Digital Social Innovation Database,http://www.communitiesofpassion.com/,NULL,NULL,
3541,Community boost_r,Digital Social Innovation Database,http://www.techsoupeurope.org/programmes/community-boost_r/,NULL,NULL,
3542,Community Currencies in Action,Digital Social Innovation Database,http://communitycurrenciesinaction.eu/,NULL,NULL,
3543,Community website,Digital Social Innovation Database,Not found,NULL,NULL,
3545,compensation Lawyers,Digital Social Innovation Database,Not found,NULL,NULL,
3546,comprarhostingco,Digital Social Innovation Database,https://www.comprarhosting.co/acerca-de-mi/,NULL,NULL,
3548,computer consultant,Digital Social Innovation Database,Not found,NULL,NULL,
3552,CONCORDnet,Digital Social Innovation Database,https://www.concordeurope.net/home,NULL,NULL,Full guide behind sign-in wall
3553,Confidence,Digital Social Innovation Database,Not found,NULL,NULL,
3554,CONFINE,Digital Social Innovation Database,http://confine-project.eu/,NULL,NULL,
3555,Connect neighbors and local organizations,Digital Social Innovation Database,Not found,NULL,NULL,
3556,Connected Neigborhood,Digital Social Innovation Database,https://www.vinnova.se/en/p/connected-neighborhood/,NULL,NULL,
3557,Connecting volunteers with charities,Digital Social Innovation Database,Not found,NULL,NULL,
3558,Conquistiamoci la luna,Digital Social Innovation Database,http://www.media.inaf.it/2013/12/17/conquistiamoci-la-luna/,NULL,NULL,
